,,"AUC as on December 31, 2019","Net Investment December 16-31, 2019","Net Investment January 01-15, 2020","AUC as on January 15, 2020","Net Investment January 16-31, 2020","AUC as on January 31, 2020","Net Investment February 01-15, 2020","AUC as on February 15, 2020","AUC as on February 15, 2020","Net Investment Februar 01-15, 2020","Net Investment February 16-29, 2020","AUC as on February 29, 2020","Net Investment March 01-15, 2020","AUC as on March 15, 2020","AUC as on March 15, 2020","Net Investment March 01-15, 2020","Net Investment March 16-31, 2020","AUC as on March 31, 2020","Net Investment March 16-31, 2020","Net Investment April 01-15, 2020","AUC as on April 15, 2020","AUC as on April 15, 2020","Net Investment April 01-15, 2020","Net Investment April 16-30, 2020","AUC as on April 30, 2020","Net Investment May 01-15, 2020","AUC as on May 15, 2020","Net Investment May 16-31, 2020","AUC as on May 31, 2020","Net Investment June 01-15, 2020","AUC as on June 15, 2020","Net Investment June 16-30, 2020","AUC as on June 30, 2020","Net Investment July 01-15, 2020","AUC as on July 15, 2020","Net Investment July 01-15, 2020","Net Investment July 16-31, 2020","AUC as on July 31, 2020","AUC as on July 31, 2020","Net Investment July 16-31, 2020","Net Investment August 01-15, 2020","AUC as on August 15, 2020","Net Investment August 16-31, 2020","AUC as on August 31, 2020","Net Investment September 01-15, 2020","AUC as on September 15, 2020","Net Investment September 16-30, 2020","AUC as on September 30, 2020","Net Investment October 01-15, 2020","AUC as on October 15, 2020","Net Investment October 16-31, 2020","AUC as on October 31, 2020","Net Investment November 01-15, 2020","AUC as on November 15, 2020","Net Investment November 16-30, 2020","AUC as on November 30, 2020","Net Investment December 01-15, 2020","AUC as on December 15, 2020","Net Investment December 16-31, 2020","AUC as on December 31, 2020"
,,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.
Sr. No.,Sectors,Equity,Equity,Equity,Equity,Equity,Equity,Equity,Equity,Equity,Equity,Equity,Equity,Equity,Equity,Equity,Equity,Equity,Equity,Equity,Equity,Equity,Equity,Equity,Equity,Equity,Equity,Equity,Equity,Equity,Equity,Equity,Equity,Equity,Equity,Equity,Equity,Equity,Equity,Equity,Equity,Equity,Equity,Equity,Equity,Equity,Equity,Equity,Equity,Equity,Equity,Equity,Equity,Equity,Equity,Equity,Equity,Equity,Equity,Equity,Equity
17,Healthcare Services,"20,097",-219,-26,"21,421",-207,"22,962",-177,"23,086","23,086",-177,-145,"22,894",-37,"20,344","20,344",-37,-116,"16,474",-116,-45,"17,925","17,925",-45,374,"18,877",26,"18,357",26,"18,415",-72,"19,008",-22,"18,655",-11,"20,535",-11,315,"22,521","22,521",315,-49,"22,817",12,"23,212",491,"24,644",552,"28,035",-91,"28,752",68,"28,861",177,"30,634",520,"32,706",485,"32,991",381,"33,952"
18,"Hotels, Restaurants & Tourism","13,251",-159,69,"13,596",86,"14,471",-316,"13,924","13,924",-316,41,"13,615",-87,"11,411","11,411",-87,-475,"9,271",-475,-167,"9,013","9,013",-167,171,"9,812",74,"9,815",272,"10,186",278,"11,065",-90,"10,979",-131,"10,809",-131,61,"10,824","10,824",61,122,"12,096",304,"13,573",64,"15,075",-6,"14,861",83,"14,571",88,"14,112",64,"15,966",124,"16,502","2,438","19,722",-139,"21,394"
19,Household & Personal Products,"107,902",-401,-463,"113,486",-62,"109,603",-889,"112,792","112,792",-889,-232,"107,712",-585,"99,263","99,263",-585,-815,"105,308",-815,"1,529","116,587","1,16,587","1,529","1,287","1,10,506","16,253","1,22,545","-1,938","1,25,437","-1,146","1,23,200",-738,"1,29,424",-132,"1,33,066",-132,-553,"1,31,921","1,31,921",-553,178,"1,30,629",-608,"1,26,500",-715,"1,28,831",783,"1,28,272",246,"1,30,247",762,"1,27,780",294,"1,33,262",132,"1,31,816",988,"1,41,879",647,"1,45,962"
20,Insurance,"79,201",802,120,"79,609",-41,"78,561",238,"75,287","75,287",238,-52,"72,516",-203,"63,533","63,533",-203,771,"57,078",771,-2,"60,088","60,088",-2,-326,"65,313",-144,"64,015",24,"66,936","3,790","69,271","2,300","76,169",524,"79,908",524,288,"85,088","85,088",288,269,"81,196",3,"79,269",-83,"82,096",-404,"78,507",-567,"76,903",219,"77,008",387,"82,719",342,"86,508","1,882","89,584",626,"94,315"
21,Media,"25,709",33,-37,"24,712",292,"24,813",-178,"22,402","22,402",-178,186,"22,024",106,"17,387","17,387",106,-218,"12,257",-218,80,"13,442","13,442",80,94,"15,893",-56,"16,037",27,"17,456",-252,"16,491",89,"17,101",65,"16,426",65,-397,"14,944","14,944",-397,224,"16,722",273,"20,498",462,"23,167",-74,"22,111",-126,"20,065",2,"17,601",60,"17,984",-68,"18,037",-40,"21,056",524,"20,956"
22,Metals & Mining,"48,025",133,-132,"50,219",-684,"43,798",-414,"45,070","44,989",-416,0,"37,171",-592,"30,397","30,397",-592,-959,"22,566",-959,-325,"25,241","25,241",-325,-305,"26,959",-103,"25,830",-253,"27,356",-66,"28,773",-273,"29,681",-102,"31,035",-102,388,"32,721","32,721",388,166,"37,758",561,"38,963",270,"39,258","-1,064","36,970",-435,"34,225",-412,"35,116",969,"41,229","1,575","46,604","2,601","54,212",293,"56,559"
23,Oil & Gas,"297,589","1,706",925,"299,831","2,021","280,198","1,699","293,524","293,512","1,699",-368,"262,866","-4,382","216,216","216,216","-4,382","-5,382","206,943","-5,382",460,"216,076","2,16,076",460,860,"2,67,661","5,501","2,67,870",-249,"2,71,292","1,673","2,98,482","-1,050","3,12,514","-1,298","3,31,409","-1,298","5,528","3,72,265","3,72,265","5,528",448,"3,81,051",358,"3,75,625","2,881","4,15,787","-1,691","3,96,632",962,"3,90,936","-1,833","3,68,464","1,289","3,66,462",-176,"3,56,750",-53,"3,68,355",382,"3,68,353"
24,Pharmaceuticals & Biotechnology,"102,073",-178,-115,"103,785",107,"104,431",134,"110,056","109,991",133,-959,"100,330",-552,"92,940","93,099",-553,"-1,189","89,291","-1,189",-987,"108,937","1,08,937",-987,-955,"1,12,611",380,"1,10,824",-38,"1,16,816",762,"1,21,982",-216,"1,23,041",375,"1,26,621",375,595,"1,39,557","1,39,557",595,520,"1,46,016",810,"1,40,435",364,"1,47,580",-516,"1,46,553",167,"1,48,668",-329,"1,44,815",-96,"1,49,968","4,405","1,57,320","2,811","1,66,808","1,462","1,64,256"
25,Real Estate Investment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Realty,"32,420",7,136,"34,831",-106,"35,668",-56,"34,051","34,051",-56,-229,"30,581",-208,"25,600","25,600",-208,-28,"19,275",-28,39,"19,557","19,557",39,-132,"20,337",-30,"18,849",68,"19,807",277,"21,882",-40,"22,394",-180,"21,273",-180,5,"21,845","21,845",5,22,"22,714",329,"25,567",-149,"25,407",-128,"24,263",-62,"23,945",-72,"26,182",-284,"27,579",-149,"29,159",168,"32,457",185,"35,275"
