22,Metals & Mining,48025,133,-132,50219,-684,43798,-414,45070,44989,-416,0,37171,-592,30397,30397,-592,-959,22566,-959,-325,25241,25241,-325,-305,26959,-103,25830,-253,27356,-66,28773,-273,29681,-102,31035,-102,388,32721,32721,388,166,37758,561,38963,270,39258,-1064,36970,-435,34225,-412,35116,969,41229,1575,46604,2601,54212,293,56559
8,Consumer Durables,51627,145,-181,53326,-15,53811,-122,55079,55080,-122,-129,53024,557,50188,50188,557,-483,45909,-483,45,47189,47189,45,334,48798,-108,43633,378,47112,489,47202,540,49585,455,50135,455,592,52118,52118,592,379,54930,1139,58584,948,63983,532,63972,108,65706,723,70009,1532,72369,643,74817,1430,84334,653,92619
23,Oil & Gas,297589,1706,925,299831,2021,280198,1699,293524,293512,1699,-368,262866,-4382,216216,216216,-4382,-5382,206943,-5382,460,216076,216076,460,860,267661,5501,267870,-249,271292,1673,298482,-1050,312514,-1298,331409,-1298,5528,372265,372265,5528,448,381051,358,375625,2881,415787,-1691,396632,962,390936,-1833,368464,1289,366462,-176,356750,-53,368355,382,368353
2,Total  Financial Services,1181152,2180,-687,1186224,-627,1159259,440,1170820,1168356,400,-1968,1089379,-11350,952460,952956,-9004,-10952,709218,-10952,-30,702001,702001,-30,-723,804814,-2493,702716,-4504,706390,11954,760775,707,810876,-2543,813980,-2543,572,825974,825974,572,6653,850076,2909,920984,-295,887249,-1601,856176,5280,924639,4166,955667,16389,1151844,12685,1205623,13532,1258708,3669,1317036
5,Coal,11261,31,-129,11168,13,9547,-283,8927,8927,-283,73,8662,-226,7772,7772,-226,67,7132,67,-72,7407,7407,-72,-119,7347,28,6437,0,7005,-63,6525,-75,6476,-200,6059,-200,-10,6053,6053,-10,-56,6166,56,6341,-57,5791,-238,5193,-182,4834,-127,4812,-95,5329,-142,5019,-26,5700,72,5446
21,Media,25709,33,-37,24712,292,24813,-178,22402,22402,-178,186,22024,106,17387,17387,106,-218,12257,-218,80,13442,13442,80,94,15893,-56,16037,27,17456,-252,16491,89,17101,65,16426,65,-397,14944,14944,-397,224,16722,273,20498,462,23167,-74,22111,-126,20065,2,17601,60,17984,-68,18037,-40,21056,524,20956
32 a,Airlines,8163,39,5,8847,-150,8272,-131,8466,8466,-131,-153,7484,-221,5536,5536,-221,-240,5634,-240,-24,5314,5314,-24,-141,5091,220,5241,66,5194,260,5587,92,5672,-86,5415,-86,-132,5383,5383,-132,69,6232,62,6714,171,7628,34,7200,163,7655,34,7720,710,10279,219,9911,317,11101,94,11658
1,Automobiles & Auto Components,155901,400,277,157396,838,153410,-274,148257,148236,-274,-1852,131467,-1050,118704,118704,-1050,-2535,88463,-2535,-505,99970,99970,-505,-1418,107705,-267,105136,-130,114592,1221,119300,-45,125847,522,129776,522,953,138290,138290,953,781,144407,591,147992,-418,150818,-892,148495,1659,151765,337,147186,374,158016,3356,169610,3668,179062,1402,180952
35,Others4,14780,468,403,15135,9857,12180,11801,18392,22400,11876,-2908,17819,695,16082,15433,-1654,-2783,11238,-2783,-61,11207,11207,-61,0,11138,-19,10661,-739,12545,8773,18054,-330,18914,179,20052,179,3329,22097,22097,3329,15383,21293,13375,21466,1433,23005,781,25227,1490,22999,399,20584,-25,21088,1113,19782,913,21479,2484,22465
28,Software & Services,336570,5124,678,350717,1423,344504,157,355889,355821,157,72,325215,-2589,287591,287591,-2589,-3592,273198,-3592,-64,269960,269960,-64,-1214,301304,-287,282406,-1233,296499,-1084,302762,-300,311359,1025,344757,1025,1005,378020,378020,1005,351,376658,-305,374865,218,408307,411,416167,517,451822,3858,445706,711,456768,-1479,454506,1104,475959,2378,505607
