"NAME OF COMPANY","TOTAL NO. OF ISSUED SHARES A+B+C","TOTAL PROMOTER HOLDING NO. OF SHARES (A)","TOTAL PROMOTER HOLDING % A /(A+B+C)","TOTAL PUBLIC HOLDING (%)B","PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER NO. OF SHARES (X)","PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER % OF PROMOTER SHARES (X/A)","PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER % OF TOTAL SHARES [X/(A+B+C)]","DISCLOSURE MADE BY PROMOTERS","NO. OF SHARES PLEDGED IN THE DEPOSITORY SYSTEM NO. OF SHARES PLEDGED","NO. OF SHARES PLEDGED IN THE DEPOSITORY SYSTEM TOTAL NO. OF DEMAT SHARES","(%) PLEDGE / DEMAT"
"Golden Tobacco Limited","17608802","5290099","    30.04","12318703","0","     0.00","     0.00","20-Nov-2020 11:30:10","209352","16254142","1.29"
"Goldiam International Limited","22174923","14664172","    66.13","7510751","0","     0.00","     0.00","20-Nov-2020 11:30:19","948120","21953197","4.32"
"Goldstone Technologies Limited","18782066","3534153","    18.82","15247913","0","     0.00","     0.00","20-Nov-2020 11:30:15","275792","18624937","1.48"
"Granules India Limited","247640796","104110386","    42.04","143530410","9000000","     8.64","     3.63","20-Nov-2020 11:30:18","19163376","247432206","7.74"
"Graphite India Limited","195375594","127659645","    65.34","67715949","0","     0.00","     0.00","20-Nov-2020 11:30:08","5199256","193960237","2.68"
"Grasim Industries Limited","657928218","270550109","    41.12","387378109","0","     0.00","     0.00","20-Nov-2020 11:30:11","16697863","638113062","2.62"
"Gravita India Limited","69037914","51086789","    74.00","17951125","0","     0.00","     0.00","20-Nov-2020 11:30:27","1261962","69032283","1.83"
"Greaves Cotton Limited","231206795","126749177","    54.82","104457618","0","     0.00","     0.00","20-Nov-2020 11:30:11","4199114","229289670","1.83"
"Greenply Industries Limited","122627395","63788407","    52.02","58838988","0","     0.00","     0.00","20-Nov-2020 11:30:12","6173077","122559535","5.04"
"Grindwell Norton Limited","110720000","64574772","    58.32","46145228","0","     0.00","     0.00","20-Nov-2020 11:30:20","686078","109909572","0.62"
"Gufic Biosciences Limited","77830000","51176372","    65.75","26653628","0","     0.00","     0.00","20-Nov-2020 11:30:17","1592183","77715004","2.05"
"Gujarat Alkalies and Chemicals Limited","73436928","33986310","    46.28","39450618","0","     0.00","     0.00","20-Nov-2020 11:30:10","2687350","72517993","3.71"
"Gujarat Ambuja Exports Limited","114667665","73199492","    63.84","41468173","0","     0.00","     0.00","20-Nov-2020 11:30:15","3568844","211804876","1.68"
"Gujarat Apollo Industries Limited","12661915","7141651","    56.40","5520264","0","     0.00","     0.00","20-Nov-2020 11:30:13","152164","12481876","1.22"
"Gujarat Industries Power Company Limited","151251188","84236161","    55.69","67015027","0","     0.00","     0.00","20-Nov-2020 11:30:09","3354045","150375699","2.23"
"Gujarat Lease Financing Limited","27125767","12387222","    45.67","14738545","0","     0.00","     0.00","20-Nov-2020 11:30:11","81084","24423315","0.33"
"Gujarat Mineral Development Corporation Limited","318000000","235320000","    74.00","82680000","0","     0.00","     0.00","20-Nov-2020 11:30:13","8422403","317512650","2.65"
"Gujarat NRE Coke Limited","1604548645","406914064","    25.36","1197634581","200915089","    49.38","    12.52","20-Nov-2020 11:30:13","209656239","1601488176","13.09"
"Gujarat NRE Coke Limited","52488010","17501468","    33.34","34986542","17501468","   100.00","    33.34","20-Nov-2020 11:30:27","17890044","52186412","34.28"
"Gujarat Narmada Valley Fertilizers and Chemicals Limited","155418783","64006713","    41.18","91412070","0","     0.00","     0.00","20-Nov-2020 11:30:03","5415526","148740894","3.64"
"Gujarat Pipavav Port Limited","483439910","212738931","    44.01","270700979","0","     0.00","     0.00","20-Nov-2020 11:30:27","3908538","482842186","0.81"
"Gujarat Raffia Industries Limited","5404500","2121685","    39.26","3282815","0","     0.00","     0.00","20-Nov-2020 11:30:13","8715","3259003","0.27"
"Gujarat Sidhee Cement Limited","88108870","61970201","    70.33","26138669","0","     0.00","     0.00","20-Nov-2020 11:30:29","1660112","87647862","1.89"
"Gujarat State Fertilizers & Chemicals Limited","398477530","150799905","    37.84","247677625","0","     0.00","     0.00","20-Nov-2020 11:30:11","15732261","390500602","4.03"
"Gujarat State Petronet Limited","564200837","212305270","    37.63","351895567","0","     0.00","     0.00","20-Nov-2020 11:30:19","2401247","564184426","0.43"
"Gulf Oil Lubricants India Limited","50177106","36219224","    72.18","13957882","0","     0.00","     0.00","20-Nov-2020 11:30:30","142787","49530784","0.29"
"Gyscoal Alloys Limited","158275560","102695160","    64.88","55580400","0","     0.00","     0.00","20-Nov-2020 11:30:27","3022502","158275530","1.91"
"HBL Power Systems Limited","277194946","161188500","    58.15","116006446","0","     0.00","     0.00","20-Nov-2020 11:30:21","5182551","274652242","1.89"
"HCL Infosystems Limited","329209928","207031161","    62.89","122178767","0","     0.00","     0.00","20-Nov-2020 11:30:15","6654304","327355981","2.03"
"HCL Technologies Limited","2713665096","1637190274","    60.33","1076474822","0","     0.00","     0.00","20-Nov-2020 11:30:14","7809574","2712701080","0.29"
"HDFC Bank Limited","5503704156","2192741359","    39.84","3310962797","0","     0.00","     0.00","20-Nov-2020 11:30:08","53912574","5491715906","0.98"
"HEG Limited","38595506","23010031","    59.62","15585475","0","     0.00","     0.00","20-Nov-2020 11:30:11","1138476","38132223","2.99"
"HFCL Limited","1284377194","510343812","    39.73","774033382","241548750","    47.33","    18.81","20-Nov-2020 11:30:28","419618869","1283908469","32.68"
"HIL Limited","7492543","3059212","    40.83","4433331",,,,"20-Nov-2020 11:30:10","290726","7435563","3.91"
"HLV LIMITED","630551766","298087074","    47.27","332464692","240442344","    80.66","    38.13","20-Nov-2020 11:30:07","243276664","626107125","38.86"
"HMT Limited","1204091640","1128056626","    93.69","76035014","0","     0.00","     0.00","20-Nov-2020 11:30:10","1189980","760224691","0.16"
"HOV Services Limited","12588972","6349829","    50.44","6239143","0","     0.00","     0.00","20-Nov-2020 11:30:21","273686","12521380","2.19"
"HSIL Limited","72296395","38972819","    53.91","33323576","0","     0.00","     0.00","20-Nov-2020 11:30:10","1087687","67017044","1.62"
"HT Media Limited","232748314","163955383","    70.44","68792931","0","     0.00","     0.00","20-Nov-2020 11:30:19","8731156","232733946","3.75"
"Harita Seating Systems Limited","7769040","5144962","    66.22","2624078","0","     0.00","     0.00","20-Nov-2020 11:30:25","81110","7599899","1.07"
"Harrisons  Malayalam Limited","18455405","9973266","    54.04","8482139","0","     0.00","     0.00","20-Nov-2020 11:30:09","669566","17866346","3.75"
"Hathway Cable & Datacom Limited","1770104500","1665562230","    94.09","104542270",,,,"20-Nov-2020 11:30:26","1597421","1770104485","0.09"
"Hatsun Agro Product Limited","161678826","119119992","    73.68","42558834","0","     0.00","     0.00","20-Nov-2020 11:30:30","4068482","160293318","2.54"
"Havells India Limited","626013006","372499880","    59.50","253513126","0","     0.00","     0.00","20-Nov-2020 11:30:15","1468089","624662679","0.24"
"HeidelbergCement India Limited","226613116","157244693","    69.39","69368423","0","     0.00","     0.00","20-Nov-2020 11:30:08","7270104","225454845","3.22"
"Hercules Hoists Limited","32000000","22275720","    69.61","9724280","0","     0.00","     0.00","20-Nov-2020 11:30:24","437875","30323750","1.44"
"Heritage Foods Limited","46398000","18512392","    39.90","27885608","0","     0.00","     0.00","20-Nov-2020 11:30:13","1541087","45775900","3.37"
"Hero MotoCorp Limited","199749523","69442081","    34.76","130307442","0","     0.00","     0.00","20-Nov-2020 11:30:08","1816707","198552216","0.91"
"Hester Biosciences Limited","8506865","4570944","    53.73","3935921","0","     0.00","     0.00","20-Nov-2020 11:30:30","203414","8166913","2.49"
"Hexa Tradex Limited","55244704","31967817","    57.87","23276887","0","     0.00","     0.00","20-Nov-2020 11:30:29","397501","54456146","0.73"
"Hi-Tech Pipes Limited","10926100","6851883","    62.71","4074217","479600","     7.00","     4.39","20-Nov-2020 11:30:30","746100","10926100","6.83"
"High Ground Enterprise Limited","115115949","57006068","    49.52","58109881","7000000","    12.28","     6.08","20-Nov-2020 11:30:31","8831626","110646169","7.98"
"Hikal Limited","123300750","84792764","    68.77","38507986","0","     0.00","     0.00","20-Nov-2020 11:30:15","2962937","122905070","2.41"
"Hilton Metal Forging Limited","12443016","6249997","    50.23","6193019","5575934","    89.21","    44.81","20-Nov-2020 11:30:23","293373","12443011","2.36"
"Himadri Speciality Chemical Limited","418807782","204815207","    48.90","213992575","0","     0.00","     0.00","20-Nov-2020 11:30:07","9003283","415278210","2.17"
"Himatsingka Seide Limited","98457160","46834592","    47.57","51622568","0","     0.00","     0.00","20-Nov-2020 11:30:03","3839622","97827925","3.92"
"Hind Rectifiers Limited","16563723","6998856","    42.25","9564867","0","     0.00","     0.00","20-Nov-2020 11:30:21","335356","13607279","2.46"
"Hind Syntex Limited","12718600","6135182","    48.24","6583418",,,,"20-Nov-2020 11:30:10","56669","11814087","0.48"
"Hindalco Industries Limited","2246352581","784225169","    34.91","1462127412","0","     0.00","     0.00","20-Nov-2020 11:30:11","11887432","2205243015","0.54"
"Hinduja Global Solutions Limited","20873164","14029452","    67.21","6843712","0","     0.00","     0.00","20-Nov-2020 11:30:23","615870","20834096","2.96"
"Hindustan Composites Limited","14769000","11073030","    74.97","3695970","0","     0.00","     0.00","20-Nov-2020 11:30:09","82557","14196329","0.58"
"Hindustan Construction Company Limited","1513028244","525214871","    34.71","987813373","483932677","    92.14","    31.98","20-Nov-2020 11:30:06","520575459","1508614492","34.51"
"Hindustan Copper Limited","925218000","703587852","    76.05","221630148","0","     0.00","     0.00","20-Nov-2020 11:30:26","10961074","925181436","1.18"
"Hindustan Media Ventures Limited","73671548","55038643","    74.71","18632905","0","     0.00","     0.00","20-Nov-2020 11:30:27","278454","73668736","0.38"
"Hindustan Motors Limited","208659293","67473254","    32.34","141186039","0","     0.00","     0.00","20-Nov-2020 11:30:28","2054693","202199757","1.02"
"Hindustan Oil Exploration Company Limited","132243289","5745","     0.00","132237544","0","     0.00","     0.00","20-Nov-2020 11:30:05","14898999","131282737","11.35"
"Hindustan Petroleum Corporation Limited","1523822625","778845375","    51.11","744977250","0","     0.00","     0.00","20-Nov-2020 11:30:04","21451649","1518396438","1.41"
"Hindustan Unilever Limited","2349556255","1454412858","    61.90","895143397","0","     0.00","     0.00","20-Nov-2020 11:30:11","9822741","2320317103","0.42"
"Hindustan Zinc Limited","4225319000","2743154310","    64.92","1482164690","626192276","    22.83","    14.82","20-Nov-2020 11:30:11","631199914","4222751850","14.95"
"Hindusthan National Glass & Industries Limited","89553565","63338840","    70.73","26214725","61123840","    96.50","    68.25","20-Nov-2020 11:30:25","71842400","89549009","80.23"
"Hitech Corporation Limited","17175700","12784480","    74.43","4391220","0","     0.00","     0.00","20-Nov-2020 11:30:24","124854","16847234","0.74"
"Honda India Power Products Limited","10143071","6762000","    66.67","3381071","0","     0.00","     0.00","20-Nov-2020 11:30:08","114286","10010095","1.14"
"Honeywell Automation India Limited","8841523","6631142","    75.00","2210381","0","     0.00","     0.00","20-Nov-2020 11:30:06","58839","8786684","0.67"
"Hotel Rugby Limited","14322800","3927952","    27.42","10394848","0","     0.00","     0.00","20-Nov-2020 11:30:12","439114","13359350","3.29"
"Housing Development Finance Corporation Limited","1795805932","0","     0.00","1795805932","0",,"     0.00","20-Nov-2020 11:30:09","18143617","1791999652","1.01"
"Housing Development and Infrastructure Limited","454003986","178351266","    39.28","275652720","0","     0.00","     0.00","20-Nov-2020 11:30:23","11291851","473964932","2.38"
"Hubtown Limited","72735871","37165686","    51.10","35570185","34125475","    91.82","    46.92","20-Nov-2020 11:30:22","36666029","72735854","50.41"
"Huhtamaki PPL Limited","75521934","50553997","    66.94","24967937","0","     0.00","     0.00","20-Nov-2020 11:30:09","1880595","74972726","2.51"
"ICDS Limited","13026700","6801304","    52.21","6225396","0","     0.00","     0.00","20-Nov-2020 11:30:14","473","10481248","0"
"ICICI Bank Limited","6896223149","1259076265","    18.26","5637146884","0","     0.00","     0.00","20-Nov-2020 11:30:13","41169087","6881350860","0.6"
"ICRA Limited","9651231","5037572","    52.20","4613659","0","     0.00","     0.00","20-Nov-2020 11:30:22","65982","9650950","0.68"
"ICSA (India) Limited","48138500","2983421","     6.20","45155079","2932143","    98.28","     6.09","20-Nov-2020 11:30:21","4600449","47473453","9.69"
"IDBI Bank Limited","10380593998","10183974842","    98.11","196619156","0","     0.00","     0.00","20-Nov-2020 11:30:08","18967475","10371097883","0.18"
"IDFC Limited","1596358316","0","     0.00","1596358316","0",,"     0.00","20-Nov-2020 11:30:19","104767518","1596350297","6.56"
"IFB Agro Industries Limited","9367111","6088680","    65.00","3278431","0","     0.00","     0.00","20-Nov-2020 11:30:09","112778","8946272","1.26"
"IFB Industries Limited","40518796","30373199","    74.96","10145597","0","     0.00","     0.00","20-Nov-2020 11:30:03","1070862","39789196","2.69"
"IFCI Limited","1895993092","1156955857","    61.02","739037235","0","     0.00","     0.00","20-Nov-2020 11:30:07","54765796","1881491726","2.91"
"IG Petrochemicals Limited","30794850","21167142","    68.74","9627708","0","     0.00","     0.00","20-Nov-2020 11:30:03","564263","29769641","1.9"
"IIFL Finance Limited","378395567","94547490","    24.99","283848077","0","     0.00","     0.00","20-Nov-2020 11:30:18","11987583","378122776","3.17"
"IL&FS Engineering and Construction Company Limited","131121078","55400884","    42.25","75720194","0","     0.00","     0.00","20-Nov-2020 11:30:24","928147","128307847","0.72"
"IL&FS Investment Managers Limited","314032740","158333152","    50.42","155699588","158333152","   100.00","    50.42","20-Nov-2020 11:30:14","4197066","307706845","1.36"
"IL&FS Transportation Networks Limited","328960027","240849000","    73.22","88111027","236582632","    98.23","    71.92","20-Nov-2020 11:30:26","2256033","328954369","0.69"
"IMP Powers Limited","8636563","4576604","    52.99","4059959","2524589","    55.16","    29.23","20-Nov-2020 11:30:12","2733032","8599356","31.78"
"INEOS Styrolution India Limited","17585625","13189218","    75.00","4396407","0","     0.00","     0.00","20-Nov-2020 11:30:08","540054","17434449","3.1"
"INOX Leisure Limited","102857754","53555179","    52.07","49302575","0","     0.00","     0.00","20-Nov-2020 11:30:19","1464391","112656343","1.3"
"IOL Chemicals and Pharmaceuticals Limited","58705502","25648998","    43.69","33056504","0","     0.00","     0.00","20-Nov-2020 11:30:27","4588295","58145666","7.89"
"IPCA Laboratories Limited","126352109","58216236","    46.07","68135873",,,,"20-Nov-2020 11:30:11","668626","126036289","0.53"
"IRB Infrastructure Developers Limited","351450000","203872598","    58.01","147577402","35645000","    17.48","    10.14","20-Nov-2020 11:30:24","18460228","351449902","5.25"
"ISMT Limited","146501383","75760903","    51.71","70740480","68900000","    90.94","    47.03","20-Nov-2020 11:30:23","70244974","134037510","52.41"
"ITC Limited","12305036551","14502025","     0.12","12290534526","0","     0.00","     0.00","20-Nov-2020 11:30:09","130328058","8584818035","1.52"
"ITD Cementation India Limited","171787584","80113180","    46.64","91674404","0","     0.00","     0.00","20-Nov-2020 11:30:14","3196465","171083119","1.87"
"ITI Limited","925119508","835419508","    90.30","89700000","0","     0.00","     0.00","20-Nov-2020 11:30:06","2522856","924477534","0.27"
"IVP Limited","10326263","7317237","    70.86","3009026","0","     0.00","     0.00","20-Nov-2020 11:30:06","136657","10202275","1.34"
"IVRCL Limited","782897692","42032166","     5.37","740865526","42032166","   100.00","     5.37","20-Nov-2020 11:30:14","47347986","782689950","6.05"
"IZMO Limited","13067173","3832624","    29.33","9234549","0","     0.00","     0.00","20-Nov-2020 11:30:22","415580","12862083","3.23"
"Igarashi Motors India Limited","31475048","23606288","    75.00","7868760","0","     0.00","     0.00","20-Nov-2020 11:30:06","817910","31249679","2.62"
"Iifl Wealth Management Limited","87363356","20100172","    23.01","67263184",,,,"20-Nov-2020 11:30:31","1154413","87364405","1.32"
"Imagicaaworld Entertainment Limited","88062123","27370127","    31.08","60691996","16800000","    61.38","    19.08","20-Nov-2020 11:30:30","18967109","88061121","21.54"
"Impex Ferro Tech Limited","87931604","60764846","    69.10","27166758","60764846","   100.00","    69.10","20-Nov-2020 11:30:18","61155319","87174633","70.15"
"Ind-Swift Laboratories Limited","59086860","24814017","    42.00","34272843","21556851","    86.87","    36.48","20-Nov-2020 11:30:13","24014417","58900076","40.77"
"Ind-Swift Limited","54164653","30090404","    55.55","24074249","22104121","    73.46","    40.81","20-Nov-2020 11:30:17","22422348","53452016","41.95"
"Indbank Merchant Banking Services Limited","44378200","28773800","    64.84","15604400","0","     0.00","     0.00","20-Nov-2020 11:30:06","635418","42491068","1.5"
"India Glycols Limited","30961500","18891032","    61.01","12070468","15790365","    83.59","    51.00","20-Nov-2020 11:30:03","1322080","30357313","4.36"
"India Motor Parts and Accessories Limited","12480000","3833168","    30.71","8646832","0","     0.00","     0.00","20-Nov-2020 11:30:19","39608","11746871","0.34"
"India Nippon Electricals Limited","22621424","15018332","    66.39","7603092","0","     0.00","     0.00","20-Nov-2020 11:30:13","473214","22325664","2.12"
"Indiabulls Housing Finance Limited","462348902","117812312","    25.48","344536590","0","     0.00","     0.00","20-Nov-2020 11:30:29","29574088","462341106","6.4"
"Indiabulls Integrated Services Limited","89325569","38633988","    43.25","50691581","0","     0.00","     0.00","20-Nov-2020 11:30:28","2459571","89310149","2.75"
"Indiabulls Real Estate Limited","454663876","109707453","    24.13","344956423","0","     0.00","     0.00","20-Nov-2020 11:30:22","68905511","454659623","15.16"
"Indian Bank","1129366570","994549600","    88.06","134816970","0","     0.00","     0.00","20-Nov-2020 11:30:22","9245206","1127864644","0.82"
"Indian Card Clothing Company Limited","4551120","2610166","    57.35","1940954","0","     0.00","     0.00","20-Nov-2020 11:30:12","49512","5838048","0.85"
"Indian Hume Pipe Company Limited","48447170","33874770","    69.92","14572400","0","     0.00","     0.00","20-Nov-2020 11:30:09","772069","47845930","1.61"
"Indian Metals & Ferro Alloys Limited","26977053","15831856","    58.69","11145197","0","     0.00","     0.00","20-Nov-2020 11:30:27","1068871","24971908","4.28"
"Indian Oil Corporation Limited","9414158922","4848133178","    51.50","4566025744","0","     0.00","     0.00","20-Nov-2020 11:30:09","53847156","9399270776","0.57"
"Indian Overseas Bank","16436988324","15752902638","    95.84","684085686","0","     0.00","     0.00","20-Nov-2020 11:30:14","20797269","16410385615","0.13"
"Indian Terrain Fashions Limited","37941300","11416100","    30.09","26525200","7646450","    66.98","    20.15","20-Nov-2020 11:30:28","8355177","37939875","22.02"
"Indo Count Industries Limited","197399670","116346750","    58.94","81052920","0","     0.00","     0.00","20-Nov-2020 11:30:09","4218465","192536793","2.19"
"Indo Rama Synthetics (India) Limited","261113151","213373508","    81.72","47739643","0","     0.00","     0.00","20-Nov-2020 11:30:16","5207899","260628173","2"
"Indo Tech Transformers Limited","10620000","8350498","    78.63","2269502","0","     0.00","     0.00","20-Nov-2020 11:30:20","112039","10616748","1.06"
"Indo Thai Securities Limited","10000000","7089047","    70.89","2910953","0","     0.00","     0.00","20-Nov-2020 11:30:29","67164","9999985","0.67"
"Indo-National Limited","3750000","2450683","    65.35","1299317","558414","    22.79","    14.89","20-Nov-2020 11:30:14","599560","3696428","16.22"
"Indoco Remedies Limited","92150355","54081146","    58.69","38069209","0","     0.00","     0.00","20-Nov-2020 11:30:18","1162901","91071179","1.28"
"Indosolar Limited","372067116","211698048","    56.90","160369068","136885495","    64.66","    36.79","20-Nov-2020 11:30:27","140080231","372058929","37.65"
"Indowind Energy Limited","89741486","45161676","    50.32","44579810","4000000","     8.86","     4.46","20-Nov-2020 11:30:23","4833446","89707438","5.39"
"Indraprastha Gas Limited","700000800","315000400","    45.00","385000400","0","     0.00","     0.00","20-Nov-2020 11:30:16","4282206","664960331","0.64"
"Indraprastha Medical Corporation Limited","91673000","46751700","    51.00","44921300","0","     0.00","     0.00","20-Nov-2020 11:30:13","3656200","65019559","5.62"
"Indusind Bank Limited","756451823","165226489","    21.84","591225334","0","     0.00","     0.00","20-Nov-2020 11:30:13","17465985","752155832","2.32"
"Industrial Investment Trust Limited","22547550","17209617","    76.33","5337933","0","     0.00","     0.00","20-Nov-2020 11:30:27","1001051","22132930","4.52"
"Infibeam Avenues Limited","664720260","217721220","    32.75","446999040","16192716","     7.44","     2.44","20-Nov-2020 11:30:30","133784109","664094890","20.15"
"Info Edge (India) Limited","128584120","49661473","    38.62","78922647","0","     0.00","     0.00","20-Nov-2020 11:30:21","318133","128578229","0.25"
"Infomedia Press Limited","50194172","25442694","    50.69","24751478","0","     0.00","     0.00","20-Nov-2020 11:30:21","2003953","49776937","4.03"
"Infosys Limited","4259411598","568587900","    13.35","3690823698","0","     0.00","     0.00","20-Nov-2020 11:30:03","27874554","4253673546","0.66"
"Ingersoll Rand (India) Limited","31568000","25101798","    79.52","6466202","0","     0.00","     0.00","20-Nov-2020 11:30:11","630329","31346094","2.01"
"Inox Wind Limited","221918226","166438669","    75.00","55479557","0","     0.00","     0.00","20-Nov-2020 11:30:30","8403162","221918225","3.79"
"Insecticides (India) Limited","20667796","14238270","    68.89","6429526","0","     0.00","     0.00","20-Nov-2020 11:30:23","521634","20667687","2.52"
"Inspirisys Solutions Limited","39616873","27712125","    69.95","11904748","0","     0.00","     0.00","20-Nov-2020 11:30:21","283163","39577567","0.72"
"Integra Garments and Textiles Limited","36332349","23090657","    63.55","13241692","0","     0.00","     0.00","20-Nov-2020 11:30:29","132196","35951279","0.37"
"Intense Technologies Limited","22407949","4084744","    18.23","18323205","375000","     9.18","     1.67","20-Nov-2020 11:30:31","1896264","22271195","8.51"
"International Constructions Limited","3633960","2725470","    75.00","908490","0","     0.00","     0.00","20-Nov-2020 11:30:12","0","3591400","0"
"Intrasoft Technologies Limited","14731678","7024297","    47.68","7707381","0","     0.00","     0.00","20-Nov-2020 11:30:26","572547","14708101","3.89"
"Inventure Growth & Securities Limited","84000000","23175439","    27.59","60824561","0","     0.00","     0.00","20-Nov-2020 11:30:28","891870","84000000","1.06"
"J.Kumar Infraprojects Limited","75665506","34289451","    45.32","41376055","8000000","    23.33","    10.57","20-Nov-2020 11:30:24","14478159","75665498","19.13"
"JB Chemicals & Pharmaceuticals Limited","77282097","43206891","    55.91","34075206","0","     0.00","     0.00","20-Nov-2020 11:30:03","1140212","76501470","1.49"
"JBF Industries Limited","81871849","25014863","    30.55","56856986","23318664","    93.22","    28.48","20-Nov-2020 11:30:11","24064457","81314888","29.59"
"JBM Auto Limited","47298853","31943754","    67.54","15355099","0","     0.00","     0.00","20-Nov-2020 11:30:18","890168","47186780","1.89"
"JHS Svendgaard Laboratories Limited","60900465","26897988","    44.17","34002477","0","     0.00","     0.00","20-Nov-2020 11:30:21","1034342","60885758","1.7"
"JIK Industries Limited","72640951","35635697","    49.06","37005254","0","     0.00","     0.00","20-Nov-2020 11:30:25","426690","55503839","0.77"
"JITF Infralogistics Limited","25703706","16199637","    63.02","9504069","0","     0.00","     0.00","20-Nov-2020 11:30:31","332354","25384797","1.31"
"JK Cement Limited","77268251","44866579","    58.07","32401672","0","     0.00","     0.00","20-Nov-2020 11:30:20","206918","76954802","0.27"
"JK Lakshmi Cement Limited","117670066","54380659","    46.21","63289407","0","     0.00","     0.00","20-Nov-2020 11:30:20","4582608","116538249","3.93"
"JK Paper Limited","170483263","87137211","    51.11","83346052","0","     0.00","     0.00","20-Nov-2020 11:30:18","8631093","165066157","5.23"
"JK Tyre & Industries Limited","246230880","138450055","    56.23","107780825","0","     0.00","     0.00","20-Nov-2020 11:30:22","16085180","245098188","6.56"
"JM Financial Limited","952223242","522008258","    54.82","430214984","0","     0.00","     0.00","20-Nov-2020 11:30:21","9274478","949912600","0.98"
"JMC Projects (India)  Limited","167905170","113757395","    67.75","54147775","0","     0.00","     0.00","20-Nov-2020 11:30:13","1055186","167685905","0.63"
"JMT Auto Limited","503832140","336412200","    66.77","167419940","336412200","   100.00","    66.77","20-Nov-2020 11:30:22","340090420","494467028","68.78"
"JSW Energy Limited","1642786469","1230645528","    74.91","412140941","546906588","    44.44","    33.29","20-Nov-2020 11:30:26","559178552","1642782475","34.04"
"JSW Holdings Limited","11099625","6848656","    61.70","4250969","469015","     6.85","     4.23","20-Nov-2020 11:30:18","549648","10898370","5.04"
"JSW Ispat Special Products Limited","469547534","349110785","    74.35","120436749","85057968","    24.36","    18.11","20-Nov-2020 11:30:31","88199646","469467805","18.79"
"JSW Steel Limited","2417220440","1078522574","    44.62","1338697866","280003915","    25.96","    11.58","20-Nov-2020 11:30:18","315940005","2394776148","13.19"
"JVL Agro Industries Limited","167940000","92786025","    55.25","75153975","36140430","    38.95","    21.52","20-Nov-2020 11:30:28","36704657","166173880","22.09"
"Jagran Prakashan Limited","281200000","182969220","    65.07","98230780","182969220","   100.00","    65.07","20-Nov-2020 11:30:19","3294280","281199309","1.17"
"Jagsonpal Pharmaceuticals Limited","26198000","18427414","    70.34","7770586","0","     0.00","     0.00","20-Nov-2020 11:30:13","102962","25928519","0.4"
"Jai Balaji Industries Limited","110450286","56304046","    50.98","54146240","52282233","    92.86","    47.34","20-Nov-2020 11:30:16","53792786","110446679","48.7"
"Jai Corp Limited","178449410","130282400","    73.01","48167010","0","     0.00","     0.00","20-Nov-2020 11:30:13","4768801","177790510","2.68"
"Jaihind Projects Limited","9757443","4439518","    45.50","5317925","4436318","    99.93","    45.47","20-Nov-2020 11:30:29","4500195","9441693","47.66"
"Jain Irrigation Systems Limited","19294304","5859773","    30.37","13434531",,,,"20-Nov-2020 11:30:29","770692","19180697","4.02"
"Jain Irrigation Systems Limited","496366053","144081040","    29.03","352285013","71015000","    49.29","    14.31","20-Nov-2020 11:30:16","103970348","494814883","21.01"
"Jain Studios Limited","28594682","17119654","    59.87","11475028","15924000","    93.02","    55.69","20-Nov-2020 11:30:13","298085","4805167","6.2"
"Jaiprakash Associates Limited","2432456975","939256890","    38.61","1493200085","189339382","    20.16","     7.78","20-Nov-2020 11:30:17","274407752","2416332753","11.36"
"Jaiprakash Power Ventures Limited","6840451092","1783000600","    26.07","5057450492","1556518421","    87.30","    22.75","20-Nov-2020 11:30:18","1906689190","6840440079","27.87"
"Jamna Auto Industries Limited","398463885","199235434","    50.00","199228451","9556165","     4.80","     2.40","20-Nov-2020 11:30:28","28080704","391823565","7.17"
"Jash Engineering Limited","11836598","6371171","    53.83","5465427","403000","     6.33","     3.40","20-Nov-2020 11:30:31","500913","10778898","4.65"
"Jay Bharat Maruti Limited","21650000","12848679","    59.35","8801321","0","     0.00","     0.00","20-Nov-2020 11:30:03","324829","21348892","1.52"
